id,geographic_area_name,estimate_total,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races,estimate_total_two_or_more_races_two_races_including_some_other_race,estimate_total_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races
1500000US530330039001,"Block Group 1, Census Tract 39, King County, Washington",1940,1511,0,11,254,0,10,154,0,154
1500000US530330039002,"Block Group 2, Census Tract 39, King County, Washington",1157,956,21,34,109,0,10,27,0,27
1500000US530330040001,"Block Group 1, Census Tract 40, King County, Washington",2258,1425,332,0,265,0,22,214,0,214
1500000US530330040002,"Block Group 2, Census Tract 40, King County, Washington",978,900,0,0,37,27,0,14,0,14
1500000US530330041001,"Block Group 1, Census Tract 41, King County, Washington",1205,968,0,0,194,0,0,43,0,43
1500000US530330041002,"Block Group 2, Census Tract 41, King County, Washington",1975,1596,2,0,166,23,1,187,0,187
1500000US530330041003,"Block Group 3, Census Tract 41, King County, Washington",1785,1411,89,0,163,0,0,122,0,122
1500000US530330041004,"Block Group 4, Census Tract 41, King County, Washington",1009,772,6,4,199,0,0,28,0,28
1500000US530330041005,"Block Group 5, Census Tract 41, King County, Washington",1227,900,0,0,220,0,0,107,14,93
1500000US530330041006,"Block Group 6, Census Tract 41, King County, Washington",901,901,0,0,0,0,0,0,0,0
1500000US530330042001,"Block Group 1, Census Tract 42, King County, Washington",1686,1425,18,17,226,0,0,0,0,0
1500000US530330042002,"Block Group 2, Census Tract 42, King County, Washington",1807,1406,71,19,246,0,24,41,0,41
1500000US530330042003,"Block Group 3, Census Tract 42, King County, Washington",1683,1471,0,0,128,0,0,84,24,60
1500000US530330042004,"Block Group 4, Census Tract 42, King County, Washington",1758,1549,61,0,111,0,0,37,0,37
1500000US530330042005,"Block Group 5, Census Tract 42, King County, Washington",1166,1040,1,0,57,0,16,52,0,52
1500000US530330043011,"Block Group 1, Census Tract 43.01, King County, Washington",1439,779,40,26,473,0,27,94,22,72
1500000US530330043012,"Block Group 2, Census Tract 43.01, King County, Washington",1394,1082,32,0,157,0,35,88,0,88
1500000US530330043013,"Block Group 3, Census Tract 43.01, King County, Washington",1214,975,10,0,96,0,23,110,0,110
1500000US530330043021,"Block Group 1, Census Tract 43.02, King County, Washington",2378,1630,70,0,423,0,23,232,44,188
1500000US530330043022,"Block Group 2, Census Tract 43.02, King County, Washington",1668,672,46,0,788,0,10,152,25,127
1500000US530330044001,"Block Group 1, Census Tract 44, King County, Washington",1365,1186,84,0,70,0,0,25,0,25
1500000US530330044002,"Block Group 2, Census Tract 44, King County, Washington",2046,1693,62,0,200,0,0,91,0,91
1500000US530330044003,"Block Group 3, Census Tract 44, King County, Washington",2110,1625,45,0,249,0,168,23,19,4
1500000US530330044004,"Block Group 4, Census Tract 44, King County, Washington",2143,1194,76,0,516,0,48,309,30,279
1500000US530330045001,"Block Group 1, Census Tract 45, King County, Washington",1508,1037,29,6,293,0,12,131,9,122
1500000US530330045002,"Block Group 2, Census Tract 45, King County, Washington",1880,1448,29,0,186,0,109,108,0,108
1500000US530330046001,"Block Group 1, Census Tract 46, King County, Washington",1198,1124,0,0,58,0,8,8,0,8
1500000US530330046002,"Block Group 2, Census Tract 46, King County, Washington",1547,1317,49,20,114,0,10,37,0,37
1500000US530330046003,"Block Group 3, Census Tract 46, King County, Washington",882,809,0,0,45,0,0,28,20,8
1500000US530330047001,"Block Group 1, Census Tract 47, King County, Washington",1190,1047,85,0,35,0,0,23,0,23
1500000US530330047002,"Block Group 2, Census Tract 47, King County, Washington",2106,1743,39,0,188,0,0,136,0,136
1500000US530330047003,"Block Group 3, Census Tract 47, King County, Washington",3404,2555,0,0,613,0,51,185,0,185
1500000US530330047004,"Block Group 4, Census Tract 47, King County, Washington",3603,2860,52,0,413,0,6,272,0,272
1500000US530330048001,"Block Group 1, Census Tract 48, King County, Washington",1363,1082,0,0,45,0,62,174,0,174
1500000US530330048002,"Block Group 2, Census Tract 48, King County, Washington",1334,1048,0,0,130,0,12,144,0,144
1500000US530330048003,"Block Group 3, Census Tract 48, King County, Washington",1413,1147,45,29,178,0,0,14,0,14
1500000US530330048004,"Block Group 4, Census Tract 48, King County, Washington",1305,1218,0,0,63,0,0,24,0,24
1500000US530330049001,"Block Group 1, Census Tract 49, King County, Washington",1491,1272,0,4,162,0,38,15,0,15
1500000US530330049002,"Block Group 2, Census Tract 49, King County, Washington",1266,1059,0,0,49,0,0,158,0,158
1500000US530330049003,"Block Group 3, Census Tract 49, King County, Washington",1557,1430,0,0,73,0,0,54,0,54
1500000US530330049004,"Block Group 4, Census Tract 49, King County, Washington",1279,996,0,14,137,0,20,112,61,51
1500000US530330049005,"Block Group 5, Census Tract 49, King County, Washington",1896,1712,15,0,99,0,53,17,0,17
1500000US530330050001,"Block Group 1, Census Tract 50, King County, Washington",1481,1129,24,0,151,0,25,152,0,152
